Datum,Dag,Skift,Starttid,Sluttid,Skifttyp,Helg
2024-01-01,måndag,N,22:00,06:00,Natt,false
2024-01-02,tisdag,N,22:00,06:00,Natt,false
2024-01-03,onsdag,N,22:00,06:00,Natt,false
2024-01-04,torsdag,L,,,Ledig,false
2024-01-05,fredag,L,,,Ledig,false
2024-01-06,lördag,L,,,Ledig,true
2024-01-07,söndag,L,,,Ledig,true
2024-01-08,måndag,L,,,Ledig,false
2024-01-09,tisdag,M,06:00,14:00,Morgon,false
2024-01-10,onsdag,M,06:00,14:00,Morgon,false
2024-01-11,torsdag,M,06:00,14:00,Morgon,false
2024-01-12,fredag,A,14:00,22:00,Kväll,false
2024-01-13,lördag,A,14:00,22:00,Kväll,true
2024-01-14,söndag,A,14:00,22:00,Kväll,true
2024-01-15,måndag,N,22:00,06:00,Natt,false
2024-01-16,tisdag,N,22:00,06:00,Natt,false
2024-01-17,onsdag,N,22:00,06:00,Natt,false
2024-01-18,torsdag,L,,,Ledig,false
2024-01-19,fredag,L,,,Ledig,false
2024-01-20,lördag,L,,,Ledig,true
2024-01-21,söndag,L,,,Ledig,true
2024-01-22,måndag,L,,,Ledig,false
2024-01-23,tisdag,M,06:00,14:00,Morgon,false
2024-01-24,onsdag,M,06:00,14:00,Morgon,false
2024-01-25,torsdag,M,06:00,14:00,Morgon,false
2024-01-26,fredag,A,14:00,22:00,Kväll,false
2024-01-27,lördag,A,14:00,22:00,Kväll,true
2024-01-28,söndag,A,14:00,22:00,Kväll,true
2024-01-29,måndag,N,22:00,06:00,Natt,false
2024-01-30,tisdag,N,22:00,06:00,Natt,false
2024-01-31,onsdag,N,22:00,06:00,Natt,false
2024-02-01,torsdag,L,,,Ledig,false
2024-02-02,fredag,L,,,Ledig,false
2024-02-03,lördag,L,,,Ledig,true
2024-02-04,söndag,L,,,Ledig,true
2024-02-05,måndag,L,,,Ledig,false
2024-02-06,tisdag,M,06:00,14:00,Morgon,false
2024-02-07,onsdag,M,06:00,14:00,Morgon,false
2024-02-08,torsdag,M,06:00,14:00,Morgon,false
2024-02-09,fredag,A,14:00,22:00,Kväll,false
2024-02-10,lördag,A,14:00,22:00,Kväll,true
2024-02-11,söndag,A,14:00,22:00,Kväll,true
2024-02-12,måndag,N,22:00,06:00,Natt,false
2024-02-13,tisdag,N,22:00,06:00,Natt,false
2024-02-14,onsdag,N,22:00,06:00,Natt,false
2024-02-15,torsdag,L,,,Ledig,false
2024-02-16,fredag,L,,,Ledig,false
2024-02-17,lördag,L,,,Ledig,true
2024-02-18,söndag,L,,,Ledig,true
2024-02-19,måndag,L,,,Ledig,false
2024-02-20,tisdag,M,06:00,14:00,Morgon,false
2024-02-21,onsdag,M,06:00,14:00,Morgon,false
2024-02-22,torsdag,M,06:00,14:00,Morgon,false
2024-02-23,fredag,A,14:00,22:00,Kväll,false
2024-02-24,lördag,A,14:00,22:00,Kväll,true
2024-02-25,söndag,A,14:00,22:00,Kväll,true
2024-02-26,måndag,N,22:00,06:00,Natt,false
2024-02-27,tisdag,N,22:00,06:00,Natt,false
2024-02-28,onsdag,N,22:00,06:00,Natt,false
2024-02-29,torsdag,L,,,Ledig,false
2024-03-01,fredag,L,,,Ledig,false
2024-03-02,lördag,L,,,Ledig,true
2024-03-03,söndag,L,,,Ledig,true
2024-03-04,måndag,L,,,Ledig,false
2024-03-05,tisdag,M,06:00,14:00,Morgon,false
2024-03-06,onsdag,M,06:00,14:00,Morgon,false
2024-03-07,torsdag,M,06:00,14:00,Morgon,false
2024-03-08,fredag,A,14:00,22:00,Kväll,false
2024-03-09,lördag,A,14:00,22:00,Kväll,true
2024-03-10,söndag,A,14:00,22:00,Kväll,true
2024-03-11,måndag,N,22:00,06:00,Natt,false
2024-03-12,tisdag,N,22:00,06:00,Natt,false
2024-03-13,onsdag,N,22:00,06:00,Natt,false
2024-03-14,torsdag,L,,,Ledig,false
2024-03-15,fredag,L,,,Ledig,false
2024-03-16,lördag,L,,,Ledig,true
2024-03-17,söndag,L,,,Ledig,true
2024-03-18,måndag,L,,,Ledig,false
2024-03-19,tisdag,M,06:00,14:00,Morgon,false
2024-03-20,onsdag,M,06:00,14:00,Morgon,false
2024-03-21,torsdag,M,06:00,14:00,Morgon,false
2024-03-22,fredag,A,14:00,22:00,Kväll,false
2024-03-23,lördag,A,14:00,22:00,Kväll,true
2024-03-24,söndag,A,14:00,22:00,Kväll,true
2024-03-25,måndag,N,22:00,06:00,Natt,false
2024-03-26,tisdag,N,22:00,06:00,Natt,false
2024-03-27,onsdag,N,22:00,06:00,Natt,false
2024-03-28,torsdag,L,,,Ledig,false
2024-03-29,fredag,L,,,Ledig,false
2024-03-30,lördag,L,,,Ledig,true
2024-03-31,söndag,L,,,Ledig,true
2024-04-01,måndag,L,,,Ledig,false
2024-04-02,tisdag,M,06:00,14:00,Morgon,false
2024-04-03,onsdag,M,06:00,14:00,Morgon,false
2024-04-04,torsdag,M,06:00,14:00,Morgon,false
2024-04-05,fredag,A,14:00,22:00,Kväll,false
2024-04-06,lördag,A,14:00,22:00,Kväll,true
2024-04-07,söndag,A,14:00,22:00,Kväll,true
2024-04-08,måndag,N,22:00,06:00,Natt,false
2024-04-09,tisdag,N,22:00,06:00,Natt,false
2024-04-10,onsdag,N,22:00,06:00,Natt,false
2024-04-11,torsdag,L,,,Ledig,false
2024-04-12,fredag,L,,,Ledig,false
2024-04-13,lördag,L,,,Ledig,true
2024-04-14,söndag,L,,,Ledig,true
2024-04-15,måndag,L,,,Ledig,false
2024-04-16,tisdag,M,06:00,14:00,Morgon,false
2024-04-17,onsdag,M,06:00,14:00,Morgon,false
2024-04-18,torsdag,M,06:00,14:00,Morgon,false
2024-04-19,fredag,A,14:00,22:00,Kväll,false
2024-04-20,lördag,A,14:00,22:00,Kväll,true
2024-04-21,söndag,A,14:00,22:00,Kväll,true
2024-04-22,måndag,N,22:00,06:00,Natt,false
2024-04-23,tisdag,N,22:00,06:00,Natt,false
2024-04-24,onsdag,N,22:00,06:00,Natt,false
2024-04-25,torsdag,L,,,Ledig,false
2024-04-26,fredag,L,,,Ledig,false
2024-04-27,lördag,L,,,Ledig,true
2024-04-28,söndag,L,,,Ledig,true
2024-04-29,måndag,L,,,Ledig,false
2024-04-30,tisdag,M,06:00,14:00,Morgon,false
2024-05-01,onsdag,M,06:00,14:00,Morgon,false
2024-05-02,torsdag,M,06:00,14:00,Morgon,false
2024-05-03,fredag,A,14:00,22:00,Kväll,false
2024-05-04,lördag,A,14:00,22:00,Kväll,true
2024-05-05,söndag,A,14:00,22:00,Kväll,true
